text,text2,label
"In a ViewGroup the ViewGroup has the ability to steal the touch events in his dispatchTouchEvent()-method, before it would call dispatchTouchEvent() on the children.",dispatchTouchEvent,1
The ViewGroup would only stop the dispatching if the ViewGroup onInterceptTouchEvent()-method returns true.,dispatchTouchEvent,1
The difference is that dispatchTouchEvent()is dispatching MotionEvents and onInterceptTouchEvent tells if it should intercept (not dispatching the MotionEvent to children) or not (dispatching to children).,dispatchTouchEvent,1
The dispatchTouchEvent() method of a ViewGroup uses onInterceptTouchEvent() to choose whether it should immediately handle the touch event (with onTouchEvent()) or continue notifying the dispatchTouchEvent() methods of its children.,dispatchTouchEvent,1
"dispatchTouchEvent is actually defined on Activity, View and ViewGroup.",dispatchTouchEvent,1
Think of it as a controller which decides how to route the touch events.,dispatchTouchEvent,1
For ViewGroup.dispatchTouchEvent things are way more complicated.,dispatchTouchEvent,1
It needs to figure out which one of its child views should get the event (by calling child.dispatchTouchEvent).,dispatchTouchEvent,1
This is basically a hit testing algorithm where you figure out which child view's bounding rectangle contains the touch point coordinates.,dispatchTouchEvent,1
dispatchTouchEvent handles before onInterceptTouchEvent.,dispatchTouchEvent,1
•ViewGroup.onInterceptTouchEvent(MotionEvent) - This allows a   ViewGroup to watch events as they are dispatched to child Views.,dispatchTouchEvent,1
How a ViewGroup handles touch:,dispatchTouchEvent,1
"ViewGroup.dispatchTouchEvent()  onInterceptTouchEvent()  Check  if  it  should  supersede  children Passes  ACTION_CANCEL  to  active  child If it returns  true  once,  the ViewGroup consumes  all  subsequent  events  For  each  child  view  (in  reverse  order  they  were  added)       If  touch  is  relevant  (inside  view),  child.dispatchTouchEvent() If  it is not  handled  by  a previous,  dispatch  to  next  view  If  no  children  handles the  event, the listener  gets  a  chance       OnTouchListener.onTouch()  If there is no listener, or its not handled       onTouchEvent()",dispatchTouchEvent,1
Intercepted  events  jump  over the child step,dispatchTouchEvent,1
The event dispatch in Android starts from Activity->ViewGroup->View.,dispatchTouchEvent,1
